taxa,term,df,sumsq,meansq,statistic,p.value
Perna,Acetic_acid,2,315.8869793084727,157.94348965423634,1.3906008687710285,0.26996253272668036
Perna,`time_air-drying`,1,314.6423896274904,314.6423896274904,2.7702438468722597,0.11021138190960604
Perna,Acetic_acid:`time_air-drying`,2,451.86173485728455,225.93086742864227,1.9891903187415432,0.1606632895806669
Perna,`time_air-drying`:Time_in_bath,1,515.7178861364822,515.7178861364822,4.54059703297758,0.04452172332122576
Perna,Acetic_acid:`time_air-drying`:Time_in_bath,1,402.61331783852955,402.61331783852955,3.5447768742523067,0.07302462812229538
Perna,Residuals,22,2498.744859453515,113.57931179334159,NA,NA
Mytilus,Acetic_acid,2,2.5890768251021856,1.2945384125510928,0.8007213382536555,0.4616633843252985
Mytilus,`time_air-drying`,1,5.964142333127205,5.964142333127205,3.689049304536115,0.06782533322179818
Mytilus,Acetic_acid:`time_air-drying`,2,5.131391317385127,2.5656956586925634,1.5869805341128262,0.22708182224526746
Mytilus,`time_air-drying`:Time_in_bath,1,0.8623054079122419,0.8623054079122419,0.533368754076738,0.47290010431345064
Mytilus,Acetic_acid:`time_air-drying`:Time_in_bath,1,2.5092754127341137,2.5092754127341137,1.552082462019761,0.22593310455724774
Mytilus,Residuals,22,35.567735884543254,1.6167152674792389,NA,NA
